39,accountant
1,acetic acid maker
1,acts
2,actuary
6,advertising agent
1,africa merchant
1,african mercht
21,agent
1,albumen manufctr
1,ale merchts
2,ambassador
1,american agent
1,animal charcoal manufacturer
1,annatto manufacturers
1,antique furniture dealer
4,appraiser
77,architect
1,armourer
1,army accoutrement maker
1,artesian well engineers
9,artificial florist
49,artist
1,artists' colormen
1,asbestos manufctr
1,ass.sec
50,auctioneer
7,australian merchant
1,average staters
3,baby linen warehouse
1,backmkr
1,bacon drier
1,bag maker
202,baker
1,baker 
1,banker
1,bankers
1,banner makr
2,barge builder
6,barrister
6,basket maker
1,bath chair prprs
1,bear imprtr
2,bedding maker
1,bedstead makers
146,beer retailer
1,belgian vice-consl
2,bellhanger
1,berthing master
1,bicycle maker
1,billiard rooms
1,billiard table mas
1,bill poster
1,birch broom mkr
2,bird dealer
2,biscuit baker
1,bkbndrs.'tool cuttr
1,black borderer
1,black ornament worker
9,blacksmith
3,bladder manufacturer
3,blind maker
1,blood dryer
1,boiler maker
1,bonded stores
1,bone merchant
5,bonnet shape maker
17,bookbinder
1,book clasp manufacturer
1,book designer
3,booking office
21,bookseller
1,boot &amp; shoe manufacturers
1,bootmaker
217,boot maker
6,boot warehouse
6,bottle dealer
1,box maker
3,brace maker
2,braid mnfrs
13,brass finisher
4,brewer
14,bricklayer
1,bridle cutter
1,bronze dealer
1,bronze powder makers
1,brthng.mstr
19,brush maker
1,buckram manufacturer
99,builder
1,buildrs
1,bunting mfrs
154,butcher
1,butter dealer
1,button maker
52,cabinet maker
1,cabinet makers
1,cabinet marker
9,cab proprietor
3,calico printer
1,calisthenic chest expander manufacturers
3,cane dealer
1,canvas agent
1,canvas factor
1,cap maker
1,cap manufacturer
1,cardboardmaker
28,carman
68,carpenter
1,carpet agent
1,carpet &amp; furnishing warehouse
1,carpet mnfrs
1,carpet planner
1,carpet warch
2,carriage builder
1,carriage dealer
4,carrier
1,carriers
1,cart owner
14,carver &amp; gilder
1,cattle salesman
1,cement works
1,cf. skin mfs
13,chair maker
2,chancellor
158,chandler
1,chandler 
50,cheesemonger
47,chemist
13,chimney sweep
15,china dealer
1,chiropodist
1,chmpgn.grwrs
1,chocolate &amp; cocoa manufacturers
1,chronometer maker
1,chronometer manufacturer
3,cigar importer
4,cigar manufacturer
1,cleansing powder manufacturer
1,clerical agent
6,clerk
9,clockmaker
23,clothier
2,clothiers
2,clothworker
1,cmnt.maker
2,coach broker
10,coach builder
1,coach ironmngr
1,coach joiner
1,coach lamp maker
1,coach painter
4,coach plater
1,coachsmith
1,coal agent
36,coal dealer
7,coal merchant
1,coal sack makr
1,cock foundrs
1,cocoa mat maker
1,coffee merchant
5,collar dresser
1,collector for Commercial Gas Co
1,collector of poor's rates
1,collector of rates
1,colliery agnts
1,col. merchant
1,coloring manufacturers
1,color manfs
1,color manufacturer
1,color manufrs
1,color mkrs
1,color warehouse
7,commercial agent
27,commission agent
1,commission merchant
1,compen sation balance maker
1,comptroller
1,comsn. agts
1,concertina maker
69,confectioner
2,confectioners
1,confectnrs
2,consultant
8,contractor
17,cooper
5,copper
1,coral merchant
1,cork cutter
53,corn chandler
1,corn commission agents
1,corn dealer 
4,corset maker
4,costume maker
1,cottn.mfs
1,cotton manufctr
1,counsellor
34,cowkeeper
1,cricket ball mkr
1,cricketng.goods maker
1,cricket outfitters
4,curiosity dealer
3,curriers
1,cut glass manfs
7,cutler
86,dairyman
1,dealer in birds
1,dealer in fancy goods
1,dealer in live stock
1,dealerin old china
1,dealer in paintings
1,decorative artist
1,decorative carver
21,decorator
1,deed box makers
29,dentist
1,designers
3,diamond mer
3,die sinker
1,director
1,discount agent
1,discount brkrs
3,distillers
3,distrct secs
1,district sureveyor
1,district surveyor
4,dock master
1,dogger
1,door spring mas
1,drain pipe mas
5,draper
2,draughtsman
1,draughtsmen
1,drawer maker
2,drawing mountr
1,dredging tool maker
2,dressmaker
41,dress maker
1,druggist
5,druggists
1,drum maker
1,dry fishmonger
3,dry salter
28,dyer
2,earthenware dealer
1,east ind. &amp; col.mer
3,easy chair maker
2,edge tool maker
1,editor
1,educational
4,egg merchant
1,electric coil mas
3,electro plater
1,embosser
1,embroideress
1,embroideresses
1,embroidery agent
1,enameller
58,engineer
3,engineers
1,enginrs
1,english &amp; continental agent
26,engraver
9,estate agent
2,factor
6,fancy box maker
4,fancy cabinet maker
1,fancy dealers &amp; importers
2,fancy draper
1,fancy feather maker
11,fancy goods
11,farrier
1,feather &amp; flock merchant
1,featherdrssr
1,feather dyer
1,feather manufactr
1,feathr.clnr
1,feathr.disr
2,fellmonger
1,felt manufactrs
1,fibre dresser
1,file cutter
1,file manufactr
1,fine art galleries
1,fine art publishrs
1,fine colors manfctr
1,firebrick merchant
1,fireproof box mkr
1,fire wood dealer
4,firewood dealer
1,first sec
59,fishmonger
1,fixture dealer
3,flannel manufacturers
2,flax spinners
2,flock merchant
3,floor cloth maker
7,florist
1,flour dealer
1,foreign agent
1,foreign fruit merchant
1,foreman
1,forfar mnfr
1,forgn. agts
1,forgn. prvsn.dealer
1,frame maker
9,french polisher
1,fried fish shop
1,fringe maker
48,fruiterer
1,fruit importers
1,fruit merchnts
37,fruit salesman
1,fruit salsmen
1,fur manufacturers
4,fur merchant
1,furnishing ironmongers
1,furnishing warehouse
19,furniture broker
1,furniture remover
2,furniture warehouse
19,furrier
8,gas engineer
37,gasfitter
3,generl managers
1,gen. man
1,gilder
1,gilt moulding maker
3,ginger beer maker
3,glass &amp; china warehouse
1,glass bottle manufacturers
6,glass cutter
10,glass manufacturer
1,glazier
7,glover
3,glue manufacturer
3,gold beater
1,gold burnishr
1,gold chain mkrs
1,gold embrdrer
1,gold engraver
1,gold fish dealt
1,gold mounters
2,goldsmith
1,governesses' agent
1,governesses' association
7,grainer
1,grease collector
136,greengrocer
1,greengrocer 
3,grindery dealer
190,grocer
3,grocers
1,gun case maker
1,gun machinist
3,gun manufacturer
28,haberdasher
88,hairdresser
7,ham &amp; beef dealer
1,handkerchief manufacturers
3,hardware agent
4,harness maker
1,hassock maker
1,hat manufacturers
41,hatter
1,hay &amp; straw dealer
1,hd.bdle
3,head master
7,herbalist
2,herring salesman
1,hide &amp;c. merchant
1,hide &amp; skin salesmen
1,hide brokers
1,hom&oelig;opathic chemists
2,homoeopathic physician
15,hon. sec
20,hop merchant
1,horse collar maker
4,horse dealer
2,horse hair manufacturer
50,hosier
1,hotpresser
9,house agent
1,house agnts
1,hsr.&amp;glvr
2,ice merchant
1,imp. of fncy.goods
1,imp.of olegrphs
1,importer
1,importer &amp; factors
1,importer of baskets
1,importer of fancy gds
2,importer of fancy goods
1,importer.of lamps
1,importer of muslins
1,india rubber manufacturers
1,india rubber manufacturers FIRST FLOOR.
1,india rubber works
1,ind.rubbr.dep&ocirc;t
1,ind.rub.mfrs
1,ink manufacturer
1,ink manufctr.
1,inkstand maker
1,ins.broker
2,inspector
5,insurance agent
5,insurance brokers
1,investment agent
1,irish linen manufacturers
1,iron&amp;metl.merchant
20,iron merchant
1,iron merchts
33,ironmonger
3,ironmongers
1,italian barrister
4,italian warehouse
1,ivory brush maker
1,ivory carver
1,ivory cutter
1,ivory merchant
3,ivory turner
3,japanner
23,jeweller
10,jobmaster
1,joiner
2,joint honsecs
1,juvenile dressmaker
1,juvenile tailor
1,juvenile wa
1,kilting manufctr
1,label makers
2,lace agent
5,lace cleaner
1,laceman
1,lace manufacturers
1,ladder &amp; barrow maker
2,ladies' outfitter
8,ladies' school
1,lady superioress 
1,lamp dealer
3,lamp maker
1,land agts
1,landscape gardener
1,land surveyor
1,lantern maker
2,lapidary
1,lapland rug maker
1,lardrcfiner
1,last makers
5,lathrender
4,laundress
1,law agent
8,law stationer
1,lead manufacturer
1,lead merchant
1,lead mine owners
1,lead works
1,leather factors
27,leather merchant
1,lecturer on chemistry
1,licensed carman
8,lighterman
6,lightermen
1,lime &amp;c. manufacturers
69,linendraper
1,linendrapers
1,linen manufacturer
12,lithographer
1,lithographers
1,livery lace makers
1,livery stable keepr
5,locksmith
1,locom.suprnt
4,looking glass makers
1,lucifer match makers
1,machine band manufacturers
1,machine boot closer
1,machinery broker
6,machinist
1,malt roasters
64,manager
1,manchester agnt
1,manchst.wa
12,mantle maker
19,manufacturers' agent
1,manufacturers. of aerated mineral waters
1,manufacturing goldsmiths
1,manufacturing jeweller
1,manufctrng.cutler
1,manufg. goldsmith
1,manufg. jeweller
1,manufrg. Jeweler
1,manure maker
1,manure manufacturers
1,map mounter
4,marble mason
1,marble merchant
4,marble works
19,marine store dealer
1,marine store dealr
1,market beadle
1,marking ink maker
1,marquee makrs
1,mar.str.dealer
1,mason
1,mast &amp; block maker
10,master mariner
1,mathematical instrument maker
1,mat manufctr
6,matron
1,mattress maker
1,mcrs
1,mechanical dentist
1,medcl.electrcn
1,medical agent
1,medical galvanist
1,medical officr
1,medical rubber
85,merchant
1,merchnte
1,merchnts Loewenfeld W. embroidery mnfr
2,metal brokers
1,metal chaser
2,metal merchant
1,methylated spirit makers
1,mhgny. brkrs
1,microscope maker
4,midwife
1,military attach&eacute;
1,military sash maker
1,milk food dep&ocirc;t
2,miller
49,milliner
1,millstone builder
1,millwrights
1,mineral teeth makers
1,mineral water maker
1,mining engineer
1,mnfrs.' agnt
1,mntle.warho
1,monumental mason
3,mortgage broker
1,mosaic &amp; tile merchant
1,mosaic marble dep&ocirc;t
1,moulding manufacturer
1,mount cutter
1,mungo merchant
1,musical agency
1,musical agts
1,musical instrt imptrs
1,musical instrument makers
2,music engraver
1,music librarian
3,music printer
1,music publrs
1,musicseller
4,music sellers
1,music warehouse
1,muslin manufacturers
1,nail dealer
1,nail manufacturer
3,naturalist
1,naval attach&eacute;
1,navy agents
1,negotiatrs
33,newsagent
1,nitric acid manufrs
1,numismatist
17,oil &amp; color man
1,oil brokers
1,oil cloth dealer
77,oilman
10,oil merchant
1,oil merchts
1,opera agent
1,oprtv.chmsts
11,optician
2,orange merchant
1,organ builder
1,oroide jeweller
1,orthopedist
1,ostrich feather-maker
2,ostrich feather manufacturer
3,ostrich feather manufucturer
4,outfitter
1,outfitters
1,oven builder
1,oyster merchant
1,oyster salesmen
1,packer
3,packing case maker
16,painter
1,paint manufr
13,paperhanger
1,papermakers' agent
1,parchment &amp; tinfoilmkrs
1,parquet floor maker
5,pastrycook
2,patentee
1,patent fire bar manufacturers
1,patent woven hose manufacturers
1,pat. medicine proptr
1,pattern
1,pattern card makers
36,pawnbroker
1,pearl stringer
3,perambulator maker
5,perfumer
1,perfumerchant
4,pewterer
1,pharm. chemist
19,photographer
39,physician
1,physician -
1,physicn
16,pianoforte maker
1,pickled tongue dealer
1,pickler
8,picture dealer
4,picture frame maker
5,piece broker
2,pill box maker
13,pilot
1,pine workers
1,pin manufacturer
1,pipe maker
1,plaister
1,plastere
1,plate chest maker
1,plte.ces.maker
52,plumber
1,pocket book maker
1,pocket book makers
1,porcelain manufacturer
1,portable chair maker
2,portmanteau maker
1,postmaster
9,potato salesman
1,potter
3,poulterer
1,president
1,prf.of mus
1,pricnl.dck.mstr
1,print colorer
62,printer
2,printers
11,professor of music
1,prof.of botny.&amp;c
1,prof.of chmstry
1,prof.of french
5,proprietor
1,prov.dealer
2,provision agents
19,provision dealer
1,provision merchant
14,publisher
1,publishers
1,pump maker
1,quill pen manufacturers
10,rag merchant
4,rate collector
1,rate collectr
1,receiver
1,rectifier
1,refiners
1,refreshment contractors
1,registrar
3,registrar of births &amp; deaths
2,registry office for servants
1,relieving officer
2,relieving officers
1,res. director
1,resident medical officer
1,retailer
1,revolving shutter maker
1,rigger
5,rope &amp; twine maker
1,rope maker
3,russia brokers
1,sackingmnfrs
1,sack makers
19,saddler
1,saddletree maker
4,sail cloth maker
1,salesman
1,sanitary engineer
1,sauce manfctr
1,sausage mkrs
5,saw maker
1,saw mill engineers
7,saw mills
5,scale maker
1,scent fountain maker
5,school
1,school apparatus maker
1,scotch whisky dealers
7,sculptor
2,seal engraver
1,sec
124,secretary
1,seed bros
4,seed merchant
2,seminary
4,sewing cotton manufacturer
1,sewing machine agent
1,shape maker
1,share broker
1,sharedealers
1,share dealers
1,shawl agent
1,shellac bleacher
1,shell fishmngrs
1,ship agent
1,ship &amp; ins. agent
1,ship &amp; insurance broker
1,ship broker
1,ship brokers
6,ship builder
7,shipping agent
7,shipssmith
5,shirt &amp; collar dresser
1,shirt &amp; collar makers
6,shirtmaker
1,shirt makers
1,shirt stud makers
1,shoe bow maker
4,shoeing forge
3,shoeing smith
40,shoemaker
11,shoe manufacturer
1,shoe manufacturers
3,shopfitter
5,shopkeeper
1,shorthand writers
1,shorthnd.wrts
1,shutter manufacturers
3,sievemaker
5,sign writer
1,silk agent
1,silk brokr
1,silk dyer
8,silk manufacturers
11,silversmith
2,skin dresser
1,skirt &amp; costume maker
1,skirt &amp; costume manufacturer
1,skirt manufactr
1,slate &amp; slab merchant
1,slate &amp; slab merchnts
4,slate manufacturer
1,slaughterman
1,slipper manufacturers
7,smith
1,soale maker
1,soap &amp; candle manufacturers
2,soap maker
1,soda water maker
2,sole agent
1,sole sewing machinists
256,solicitor
3,solicitors
1,spctcls maker
1,spiral turner
2,sponge dealer
1,spring blind maker
1,spring mattress maker
1,spur maker
1,stained. glass maker
1,stamp cutter
52,stationer
1,stationrs
7,staymaker
1,stck. &amp; share bro
1,steam flour mills
1,steam saw mills
1,steam ship brokers
1,steam ship brokrs
1,steam wood turner
1,steel letter cutter
1,steel manufacturer
1,steel mill maker
2,steel polisher
4,stevedore
1,stick mounters
1,stm. rollng.mills
10,stockbroker
1,stock brokers
1,stockbs
3,stock jobber
1,stonemason
3,stone merchant
1,straw hat cleaner
1,straw hat maker
1,straw hat manufr
1,strw.bonnt.maker
1,stuff maker
1,stuff manufacturer
1,sub-agnt
1,submarne.engnrs
1,sugar dealers
1,superintd. registrar
9,superintendent
1,superintendent registrar
2,supervisors
1,supts. of grain
1,surface colored paper maker
113,surgeon
2,surgeon dentists
2,surgical instrument maker
24,surveyor
1,swiss embroidery manufrs
1,swiss hndkf. manufacturers
1,table manufacturers
173,tailor
3,tallow chandler
2,tallow melters
1,tallow merchant
6,tanner
4,tarpaulin manufacturer
1,tassel mould turner
1,tbco.mfs
1,tea&amp;coff.dealers
2,teacher of dancing
1,teacher of languages
1,teacher of languags
1,teacher of mathematics
1,teacher of piano
1,teacher of shorthand
1,teacher of swimng
1,teacher of wrtng
13,tea dealer
1,teadealers &amp; grocers
1,tea dealrs
1,tea merchte
2,theatrical costumier
4,ticket writer
1,tie manufactrs
18,timber merchant
9,tim plate worker
1,tim plate workers
2,tin barrel makrs
5,tinman
12,tin plate worker
1,tire smith
1,tobacco brkrs
128,tobacconist
1,tobacco pipe maker
1,tool dealer
1,tool depot
3,tool maker
1,towel manufacturers
21,toy dealer
4,translator
7,travelling draper
1,treasurer
1,trimming maker
8,trimming seller
1,trinity pilot
17,tripe dresser
7,trunk maker
1,tug owner
6,turncock
4,turner
1,tutors
3,type founder
16,umbrella maker
2,underclothing manufacturer
1,underlinen warehouse
27,undertaker
2,unredeemed pledge store
33,upholsterer
1,upholsterers' warehousemen
2,varnish maker
2,varnish manufacturer
1,varnish mkrs
1,vat &amp; back maker
3,vellum binder
1,veneer merchant
1,ventilating enginrs
3,vestry clerk
7,veterinary surgeon
1,vinegr brewers
1,waistcoat maker
21,wardrobe dealer
1,wardro.dealer
1,warehosmn
5,warehouseman
2,warehousemen
1,washing machine maker
1,washing powder maker
3,waste paper dealer
62,watchmaker
2,waterproofer
3,wax chandlers
1,wd. engvr
1,well borer
1,weller
4,wharfinger
1,wharfingers
1,wheel brush maker
1,wheel works
20,wheelwright
7,whipmaker
5,whitesmith
2,whiting maker
1,wholesle.clothiers
1,wholesle.furrier
1,wholesl. perfumer
1,wholsl. milliner
2,wig maker
3,window blind maker
3,window glass maker
1,window glass merchant
2,wine &amp; spirit merchant
54,wine merchant
2,wine merchts
1,wire drawers
1,wire rope makers
1,wire weaver
4,wire worker
1,wood brokers
4,wood carver
6,wood engraver
10,wood turner
8,wool broker
2,woollen drapers
1,woollen factors
16,woollen merchant
1,woollen wa
1,woolstaplers
1,working cutlr
1,working jeweller
1,working upholsterer
1,worsted manufacturers
1,worsted spinnrs
1,writer &amp;grainer
1,writer on gls
1,writing engraver
1,writing engrvrs
8,zinc worker
